Id,SalePrice
1461,118509.5740165402
1462,157135.60576466226
1463,205833.03400171164
1464,202253.89291399193
1465,190676.69421204028
1466,197302.36013944948
1467,165511.05878588895
1468,183886.76310275297
1469,199398.37968688726
1470,122885.36317015707
1471,204458.02683243074
1472,116870.71685095492
1473,113113.70128803968
1474,161883.66774510487
1475,118178.27162119502
1476,304844.2986999474
1477,228152.7628688129
1478,243430.91188300226
1479,260509.9735235254
1480,369498.1760782426
1481,293264.6619813092
1482,215424.76449237007
1483,199789.69168191415
1484,184855.33244061784
1485,181723.70878950704
1486,216224.09678400436
1487,296491.0240009754
1488,244019.52817202883
1489,199908.9248110057
1490,228714.16483357048
1491,210543.3455683397
1492,96423.68561125046
1493,192601.8775231921
1494,265063.24363020493
1495,256489.48020672158
1496,227396.11594438564
1497,223315.27252575115
1498,170302.5477494573
1499,169946.2029009628
1500,174190.19230920414
1501,201039.50539288542
1502,155455.14654240978
1503,243004.9242861789
1504,227081.30150315946
1505,212864.18970271957
1506,211293.5133200168
1507,278440.243555904
1508,228264.25160852785
1509,167473.81366293703
1510,149363.75005956867
1511,146611.48675334302
1512,185471.65017788706
1513,195661.67341290775
1514,165685.51439421356
1515,275250.08248139767
1516,161956.32994704682
1517,152116.26063310157
1518,173788.98541030346
1519,212322.96168067877
1520,131161.36692903482
1521,140557.17209875246
1522,187534.0137505025
1523,136632.43943962723
1524,131560.76284290745
1525,107532.30649485684
1526,128579.73254665022
1527,91995.65416344779
1528,118369.9008134309
1529,135865.11161260738
1530,182435.89812367817
1531,144011.73749411793
1532,83980.19062555942
1533,154047.12205363635
1534,111909.95988268999
1535,165630.78185035533
1536,104020.31955475837
1537,76180.62768265873
1538,113049.56377108663
1539,177209.77468436363
1540,177646.4338452021
1541,136711.17217619217
1542,162312.3197096883
1543,185884.90546128398
1544,66972.8974940338
1545,108917.73563275172
1546,108720.8515616398
1547,138248.496862871
1548,134064.6086570461
1549,95833.81838825543
1550,119614.84077200398
1551,104178.15308638464
1552,146069.72432989127
1553,119775.3635757583
1554,95553.58225463156
1555,202338.11991225777
1556,89664.0398738914
1557,119309.83041710232
1558,74611.59657049889
1559,132686.68267247465
1560,145740.03576303727
1561,211841.63271932036
1562,105367.04158056795
